protocol_id,stage,condition,selected_estimator_id,delay_gradient_mode,delay_gradient_sigma,perturbation_delay_steps,seed,full_batch_updates,initial_task_gradient_target_directed_coordinate_fraction,initial_task_gradient_mean_target_directed,initial_task_gradient_nonzero_coordinate_fraction,initial_exact_interface_patterns,final_exact_interface_patterns,balanced_accuracy,exact_truth_table_completion,exact_interface_completion,silent_rate,collision_rate,correct_target_time_rate,mean_output_spikes_per_trial,hidden_active_pattern_count,final_delay_mean_steps,final_delay_min_steps,final_delay_max_steps,final_delay_max_error_steps,final_delay_fraction_within_0p1,functional_recovery_pass,schedule_identification_pass,joint_full_pass,test_split_opened,complete
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,3.0,2503,500,0.9375,True,1.0,0,3,1.0,True,False,0.0,0.0,0.75,1.0,4,3.3995525240898132,2.8374760150909424,3.7813963890075684,1.1625239849090576,0.0,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,3.0,2521,500,0.8125,True,1.0,0,2,1.0,True,False,0.0,0.0,0.5,1.0,4,3.6316810995340347,2.1677074432373047,5.021018981933594,1.8322925567626953,0.0625,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,3.0,2539,500,0.6875,True,1.0,0,4,1.0,True,True,0.0,0.0,1.0,1.0,4,3.1828274577856064,2.444577693939209,3.6040115356445312,1.555422306060791,0.0,True,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,3.0,2551,500,0.875,True,1.0,0,3,1.0,True,False,0.0,0.0,0.75,1.0,4,3.39203879237175,1.8967115879058838,4.168006420135498,2.103288412094116,0.1875,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,3.0,2579,500,0.875,True,1.0,0,4,1.0,True,True,0.0,0.0,1.0,1.0,4,3.410389393568039,2.324317216873169,3.729245662689209,1.675682783126831,0.0,True,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,5.0,2503,500,0.5,True,1.0,0,0,1.0,True,False,0.0,0.0,0.0,1.0,4,3.2553757214918733,0.221774622797966,7.657166004180908,3.778225377202034,0.0,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,5.0,2521,500,0.375,True,1.0,0,3,1.0,True,False,0.0,0.0,0.75,1.0,4,3.7562942430377007,1.1390786170959473,6.874462127685547,2.874462127685547,0.0625,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,5.0,2539,500,0.4375,True,1.0,0,0,1.0,True,False,0.0,0.0,0.0,1.0,4,4.214718637987971,0.27734988927841187,7.646247386932373,3.722650110721588,0.0,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,5.0,2551,500,0.5625,True,1.0,0,0,0.75,False,False,0.25,0.0,0.25,1.0,4,4.305205434560776,0.31910252571105957,7.486012935638428,3.6808974742889404,0.0,False,False,False,False,True
xor_integer_boundary_credit_preflight_v1,stage_p1_conditional_recovery,task_delay_only_repaired_backward,gaussian_ste_s1p00,gaussian_ste,1.0,5.0,2579,500,0.5625,True,1.0,0,1,1.0,True,False,0.0,0.0,0.25,1.0,4,3.302968814969063,0.42354655265808105,7.6070122718811035,3.6070122718811035,0.0625,False,False,False,False,True
